loss,alpha,class_weight,accuracy,precision,recall,f1,roc_auc
hinge,3e-05,None,0.967178821322946,0.9759784075573549,0.982964842334179,0.9794591666290461,0.990856915778608
modified_huber,0.0001,None,0.9666017456538989,0.9730648769574944,0.9853207683943458,0.9791544730088695,0.9909048663838437
modified_huber,3e-05,None,0.9658082666089591,0.974910071942446,0.9823305545487495,0.9786062466149125,0.990802105929041
log_loss,1e-05,None,0.9640770396018178,0.9697753209700428,0.9855926060166728,0.9776199892144526,0.9903881152758193
hinge,1e-05,None,0.9637885017672942,0.9743335734870316,0.9803370786516854,0.9773261065943992,0.9901640038909223
modified_huber,1e-05,None,0.9634999639327707,0.9727909482758621,0.9816056542225444,0.9771784232365145,0.9901501251395408
hinge,0.0001,None,0.963283560556878,0.9683245840377258,0.9861362812613266,0.9771492704826038,0.9899837724382229
modified_huber,0.0003,None,0.9629228882637236,0.9669802946919936,0.9871330192098586,0.976952739664604,0.9898850506039147
modified_huber,3e-05,balanced,0.9622015436774147,0.9818481848184818,0.9704603117071403,0.9761210353627415,0.9905731546100596
hinge,1e-05,balanced,0.961335930173844,0.9804172767203514,0.9708227618702429,0.9755964305226734,0.9902250319339492
hinge,3e-05,balanced,0.9614801990911058,0.9846778659774783,0.9666545849945632,0.9755829903978052,0.990768867441321
modified_huber,0.0001,balanced,0.9610473923393205,0.9852968374329573,0.9654766219644799,0.9752860411899313,0.9909075587975065
modified_huber,1e-05,balanced,0.9603260477530117,0.9783759124087591,0.9716382747372236,0.974995453718858,0.9893526578546106
log_loss,3e-05,None,0.9593161653321792,0.9631169290642136,0.9866799565059804,0.9747560648106705,0.9891310465681149
log_loss,1e-05,balanced,0.9593161653321792,0.9857142857142858,0.9628488582819862,0.9741474147414741,0.9905510704075148
hinge,0.0001,balanced,0.9579456106181923,0.9873193473193473,0.9594961942732875,0.9732089517944947,0.990276604476612
modified_huber,0.0003,balanced,0.9567914592800981,0.987209410886005,0.9581370061616528,0.9724559709385202,0.9902053196196312
hinge,0.0003,None,0.9531847363485537,0.9533036571528324,0.9896701703515767,0.9711465789356689,0.9875735814217304
log_loss,3e-05,balanced,0.9545552910625406,0.9864435302916978,0.956052917723813,0.9710104914411927,0.9894475013311421
modified_huber,0.001,None,0.9505157613792109,0.9502349051679136,0.9896701703515767,0.9695517088326675,0.9873538932878511
hinge,0.0003,balanced,0.9512371059655197,0.9878508193633453,0.950434940195723,0.9687817493303778,0.9887360630732518
modified_huber,0.001,balanced,0.951020702589627,0.9870215367252891,0.950978615440377,0.9686649130093682,0.9881946635591938
log_loss,0.0001,None,0.9479189208684988,0.9473455933379598,0.989579557810801,0.9680021272823968,0.986445139571519
log_loss,0.0001,balanced,0.9481353242443915,0.985963259538389,0.9483508517578833,0.966791372222992,0.9872333757238907
hinge,0.001,balanced,0.9401283993363629,0.985445205479452,0.9386553098948894,0.9614813439762391,0.985401701066952
log_loss,0.0003,balanced,0.9386857101637452,0.9842175318501616,0.9380210221094599,0.9605641644242368,0.9838699420605401
log_loss,0.001,balanced,0.9254129697756618,0.980311179408375,0.9248822036969917,0.9517903767251026,0.978068944508457
log_loss,0.0003,None,0.9197864820024526,0.912606020289373,0.9944726350126858,0.9517821524585899,0.9824702395337866
hinge,0.001,None,0.9141599942292433,0.9063222185539782,0.9950163102573396,0.9486005528680027,0.982061377287542
log_loss,0.001,None,0.8572459063694727,0.8486948486948487,0.998731424429141,0.9176206135786538,0.976626355678358
