split,topic_id,word_rank,before_word,before_weight,after_word,after_weight
positive,3,1,coffee,0.026423,bar,0.024551065638661385
positive,3,2,breakfast,0.01906054,drink,0.022393403574824333
positive,3,3,brunch,0.019057017,beer,0.02224578708410263
positive,3,4,egg,0.01597762,night,0.02052980847656727
positive,3,5,cream,0.012484149,table,0.019714759662747383
positive,3,6,toast,0.011817426,happy,0.015123839490115643
positive,3,7,sweet,0.011447639,hour,0.014348862692713737
positive,3,8,french,0.010612941,great,0.013217092491686344
positive,3,9,tea,0.010022139,selection,0.011937351897358894
positive,3,10,chocolate,0.009958209,friend,0.010764528065919876
negative,3,1,come,0.021043478,cheese,0.022755511105060577
negative,3,2,table,0.021037603,sandwich,0.019609050825238228
negative,3,3,wait,0.015344119,good,0.017720375210046768
negative,3,4,service,0.0150035005,fry,0.017605172470211983
negative,3,5,ask,0.014805731,chicken,0.01637275516986847
negative,3,6,drink,0.013725855,burger,0.016268018633127213
negative,3,7,time,0.0132920025,salad,0.010603911243379116
negative,3,8,order,0.013046737,order,0.009634329006075859
negative,3,9,minute,0.012968206,place,0.009520876221358776
negative,3,10,go,0.010821704,time,0.008790797553956509
